customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00080,Male,0,Yes,No,49,Yes,No,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,40.78,2189.18,No
CUST-00081,Female,0,Yes,No,20,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,68.69,1473.12,Yes
CUST-00082,Male,1,Yes,No,13,Yes,Yes,No,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),38.32,498.4,No
CUST-00083,Male,0,Yes,No,62,Yes,No,DSL,Yes,Yes,No internet service,No,No,No internet service,Two year,No,Mailed check,54.78,3624.9,No
CUST-00084,Male,1,No,No,52,Yes,No,No,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,22.9,1107.23,No
CUST-00085,Female,0,Yes,No,7,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),41.25,290.45,No
CUST-00086,Female,0,No,No,67,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),64.88,4303.64,No
CUST-00087,Female,0,No,No,13,Yes,No,DSL,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),26.26,329.42,No
CUST-00088,Male,0,Yes,No,43,Yes,No,No,Yes,No,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),62.89,2930.58,No
CUST-00089,Male,0,No,No,10,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,65.8,701.76,No
CUST-00090,Male,0,Yes,No,14,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,54.13,819.52,No
CUST-00091,Male,0,No,Yes,46,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),73.17,3456.84,No
CUST-00092,Female,0,Yes,No,49,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Month-to-month,No,Electronic check,77.27,3692.5,No
CUST-00093,Female,0,Yes,Yes,49,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,22.08,1137.49,No
CUST-00094,Male,0,Yes,No,25,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,60.74,1399.62,No
CUST-00095,Female,0,No,No,59,Yes,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),34.23,2162.18,No
CUST-00096,Male,0,No,Yes,4,Yes,No,No,No internet service,Yes,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),44.49,161.19,No
CUST-00097,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,57.39,3723.59,No
CUST-00098,Male,1,Yes,Yes,7,No,No,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),66.53,484.71,Yes
CUST-00099,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,No,Electronic check,79.16,1017.02,Yes
CUST-00100,Female,0,No,Yes,25,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,89.11,2070.47,Yes
CUST-00101,Female,0,No,No,5,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No,Two year,No,Mailed check,93.37,462.4,Yes
CUST-00102,Male,0,No,No,24,Yes,No,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,88.81,2046.13,Yes
CUST-00103,Female,0,Yes,No,59,Yes,No,DSL,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),27.02,1711.29,No
CUST-00104,Female,0,Yes,No,62,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No internet service,No internet service,One year,No,Credit card (automatic),21.29,1238.89,No
CUST-00105,Male,0,Yes,No,17,No,No,No,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,51.79,865.83,No
CUST-00106,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,62.93,2216.87,No
CUST-00107,Male,0,Yes,No,25,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,73.52,1700.95,Yes
CUST-00108,Female,0,Yes,No,37,Yes,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,45.76,1611.76,No
CUST-00109,Male,0,Yes,No,27,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),35.37,1023.75,No
CUST-00110,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No,Two year,Yes,Electronic check,54.03,56.36,No
CUST-00111,Male,0,Yes,No,66,Yes,Yes,DSL,No,No,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),43.43,3103.85,No
CUST-00112,Female,0,Yes,No,22,Yes,Yes,No,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,57.49,1240.82,Yes
CUST-00113,Female,0,No,Yes,33,Yes,Yes,DSL,Yes,No,No internet service,No,No internet service,Yes,Two year,No,Mailed check,20.26,633.87,No
CUST-00114,Female,1,Yes,Yes,8,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.29,284.54,No
CUST-00115,Male,0,No,No,28,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Two year,No,Electronic check,77.38,2164.54,Yes
CUST-00116,Male,0,Yes,No,34,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,One year,Yes,Mailed check,75.75,2338.41,No
CUST-00117,Male,0,Yes,Yes,47,Yes,Yes,DSL,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),33.65,1424.75,No
CUST-00118,Male,0,Yes,Yes,19,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,50.74,984.25,No
CUST-00119,Female,1,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,53.99,2669.65,No
CUST-00120,Female,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,58.95,1670.33,No
CUST-00121,Female,0,Yes,No,18,Yes,Yes,DSL,No,No,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),87.46,1597.43,Yes
CUST-00122,Female,0,Yes,Yes,39,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),25.97,1058.17,No
CUST-00123,Male,0,No,Yes,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.28,955.77,No
CUST-00124,Female,0,No,Yes,2,No,Yes,DSL,Yes,No,No internet service,No,No internet service,No,Month-to-month,No,Credit card (automatic),77.17,160.67,No
CUST-00125,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),46.29,450.49,No
CUST-00126,Male,0,No,No,12,Yes,Yes,DSL,No,No internet service,No,No,No internet service,No,One year,Yes,Mailed check,65.02,717.48,Yes
CUST-00127,Female,0,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),21.74,773.81,No
CUST-00128,Female,0,No,No,71,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,No,One year,Yes,Electronic check,22.83,1461.29,No
CUST-00129,Male,0,No,Yes,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),24.6,390.64,No
CUST-00130,Male,0,Yes,No,5,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.32,337.06,No
CUST-00131,Male,1,No,Yes,14,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,33.63,497.63,No
CUST-00132,Female,0,Yes,Yes,4,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),96.67,365.96,Yes
CUST-00133,Female,0,No,No,15,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,20.5,283.25,No
CUST-00134,Male,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),58.36,437.51,Yes
CUST-00135,Female,1,Yes,No,69,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.32,3353.93,No
CUST-00136,Female,1,Yes,No,27,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.5,1364.23,No
CUST-00137,Male,0,No,No,46,Yes,No,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,One year,Yes,Electronic check,54.74,2482.43,No
CUST-00138,Male,0,No,No,49,Yes,Yes,DSL,No,Yes,No,No,No internet service,No,Two year,Yes,Electronic check,47.47,2128.61,No
CUST-00139,Male,0,No,No,10,No,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,47.57,503.23,No
CUST-00140,Female,0,No,No,18,Yes,Yes,DSL,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,65.19,1161.33,No
CUST-00141,Female,0,No,Yes,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,37.37,1028.59,No
CUST-00142,Female,0,Yes,Yes,33,Yes,No,No,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,34.26,1124.46,No
CUST-00143,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),71.26,74.3,No
CUST-00144,Male,0,No,Yes,46,No,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,61.36,2807.34,No
CUST-00145,Female,0,No,No,22,No,Yes,DSL,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Mailed check,48.61,1169.65,No
CUST-00146,Female,0,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,36.52,902.4,No
CUST-00147,Male,0,Yes,Yes,43,No,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Two year,No,Mailed check,28.19,1215.76,No
CUST-00148,Male,1,No,Yes,68,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,22.25,1646.3,No
CUST-00149,Female,1,No,No,9,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),78.77,753.08,Yes
CUST-00150,Male,0,Yes,No,70,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),55.6,3789.46,No
CUST-00151,Female,0,No,No,30,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,22.75,719.55,No
CUST-00152,Male,1,No,No,9,Yes,Yes,DSL,No,No internet service,Yes,Yes,Yes,No,Two year,Yes,Mailed check,29.52,265.99,No
CUST-00153,Male,0,No,No,16,Yes,No,DSL,No,No,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,36.77,592.92,No
CUST-00154,Female,0,No,Yes,25,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,35.78,898.19,No
CUST-00155,Female,0,No,No,22,No,No,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),52.9,1234.48,No
CUST-00156,Male,0,Yes,No,15,Yes,No phone service,No,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,43.97,714.76,No
CUST-00157,Male,0,No,No,11,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,72.93,773.27,No
CUST-00158,Female,0,No,No,14,Yes,Yes,No,No,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,63.16,909.34,No
CUST-00159,Female,0,Yes,No,47,Yes,No,DSL,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.64,3598.17,No
CUST-00160,Female,0,Yes,Yes,35,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,71.77,2706.62,No
CUST-00161,Female,0,No,No,2,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,Yes,One year,Yes,Credit card (automatic),73.79,146.02,Yes
CUST-00162,Female,0,No,Yes,41,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Two year,Yes,Credit card (automatic),78.8,3030.59,No
CUST-00163,Female,0,Yes,Yes,2,Yes,No,DSL,Yes,No,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),75.65,142.32,Yes
CUST-00164,Female,1,Yes,No,31,No,No,Fiber optic,Yes,No internet service,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),32.58,919.34,No
CUST-00165,Male,0,No,Yes,23,Yes,Yes,No,Yes,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,29.91,633.0,No
CUST-00166,Female,0,No,No,20,Yes,No,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Credit card (automatic),57.69,1107.93,No
CUST-00167,Female,0,Yes,No,25,Yes,No,No,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,77.83,1791.09,Yes
CUST-00168,Female,0,No,No,20,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),25.27,542.91,No
CUST-00169,Female,0,No,Yes,66,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),69.26,4445.01,No
CUST-00170,Female,0,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,Two year,Yes,Electronic check,66.98,4630.48,No
CUST-00171,Male,1,Yes,Yes,25,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,No,Electronic check,57.71,1517.05,No
CUST-00172,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),46.14,2924.25,No
